path,line,purpose,category,current_model,expected_output,reasoning_required,arithmetic_required,date_computation,arbitrary_strings,latency,token_usage,approximate_cost,failure_and_fallback,frequency,critical_path,primitive,priority
apps/cli/src/agent/chat.rs,133,CLI context summary or primary/continuation turn,C/D,Session selected provider/model,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Session retry/failover; compaction fallback from shared context engine,On invocation; production frequency unknown,yes when invoked synchronously,none,reject direct replacement
apps/cli/src/agent/chat.rs,1092,CLI context summary or primary/continuation turn,C/D,Session selected provider/model,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Session retry/failover; compaction fallback from shared context engine,On invocation; production frequency unknown,yes when invoked synchronously,none,reject direct replacement
apps/cli/src/agent/chat.rs,1161,CLI context summary or primary/continuation turn,C/D,Session selected provider/model,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Session retry/failover; compaction fallback from shared context engine,On invocation; production frequency unknown,yes when invoked synchronously,none,reject direct replacement
apps/cli/src/agent/chat.rs,1200,CLI context summary or primary/continuation turn,C/D,Session selected provider/model,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Session retry/failover; compaction fallback from shared context engine,On invocation; production frequency unknown,yes when invoked synchronously,none,reject direct replacement
apps/cli/src/agent/chat.rs,1292,CLI context summary or primary/continuation turn,C/D,Session selected provider/model,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Session retry/failover; compaction fallback from shared context engine,On invocation; production frequency unknown,yes when invoked synchronously,none,reject direct replacement
apps/cli/src/agent/chat.rs,1332,CLI context summary or primary/continuation turn,C/D,Session selected provider/model,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Session retry/failover; compaction fallback from shared context engine,On invocation; production frequency unknown,yes when invoked synchronously,none,reject direct replacement
apps/cli/src/agent/chat.rs,1355,CLI context summary or primary/continuation turn,C/D,Session selected provider/model,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Session retry/failover; compaction fallback from shared context engine,On invocation; production frequency unknown,yes when invoked synchronously,none,reject direct replacement
apps/cli/src/memory_pipeline.rs,225,Extract and consolidate memory summaries,C/D,Host-selected model through the canonical router/provider configuration,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Raw summary/line dedup on model failure or timeout,On invocation; production frequency unknown,background or explicit consolidation,Noul worth-saving gate / pair match only,P2 preserve exact facts and privacy
apps/cli/src/memory_pipeline.rs,370,Extract and consolidate memory summaries,C/D,Host-selected model through the canonical router/provider configuration,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Raw summary/line dedup on model failure or timeout,On invocation; production frequency unknown,background or explicit consolidation,Noul worth-saving gate / pair match only,P2 preserve exact facts and privacy
apps/cli/src/models/streaming.rs,357,Shared inference dispatch; semantics belong to caller,transport,Host-selected model through the canonical router/provider configuration,"streamed text, reasoning, tool calls, usage",caller-dependent,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,caller-dependent,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,preserve transport; classify callers
apps/cli/src/platform/runtime/advisor.rs,152,Explicit user request for a stronger second opinion,C/D,Host-selected model through the canonical router/provider configuration,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,reject user-requested reasoning downgrade
apps/desktop/electron/runtime/localInferenceService.ts,168,Shared inference dispatch; semantics belong to caller,transport,Host-selected model through the canonical router/provider configuration,"streamed text, reasoning, tool calls, usage",caller-dependent,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,caller-dependent,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,preserve transport; classify callers
