path	state	category	tracked	lines	notes
.agents/skills/ai-seo/evals/evals.json	review-pending	human	tracked	90	
.agents/skills/programmatic-seo/evals/evals.json	review-pending	human	tracked	94	
.agents/skills/seo-geo/.claude-plugin/plugin.json	review-pending	human	tracked	25	
.agents/skills/seo-geo/scripts/autocomplete_ideas.py	review-pending	human	tracked	74	
.agents/skills/seo-geo/scripts/backlinks.py	review-pending	human	tracked	37	
.agents/skills/seo-geo/scripts/competitor_gap.py	review-pending	human	tracked	80	
.agents/skills/seo-geo/scripts/credential.py	review-pending	human	tracked	12	
.agents/skills/seo-geo/scripts/dataforseo_api.py	review-pending	human	tracked	104	
.agents/skills/seo-geo/scripts/domain_overview.py	review-pending	human	tracked	44	
.agents/skills/seo-geo/scripts/keyword_research.py	review-pending	human	tracked	38	
.agents/skills/seo-geo/scripts/related_keywords.py	review-pending	human	tracked	84	
.agents/skills/seo-geo/scripts/seo_audit.py	review-pending	human	tracked	151	
.agents/skills/seo-geo/scripts/serp_analysis.py	review-pending	human	tracked	41	
.cargo/audit.toml	review-pending	human	tracked	91	
.claude/agents/chrome-ext-engineer.md	review-pending	human	tracked	65	
.claude/agents/cli-engineer.md	review-pending	human	tracked	77	
.claude/agents/desktop-engineer.md	review-pending	human	tracked	69	
.claude/agents/mobile-engineer.md	review-pending	human	tracked	67	
.claude/agents/supervisor.md	review-pending	human	tracked	89	
.claude/agents/vscode-ext-engineer.md	review-pending	human	tracked	73	
.claude/agents/web-engineer.md	review-pending	human	tracked	72	
.claude/settings.local.json	review-pending	human	tracked	28	
.claudeignore	review-pending	human	tracked	72	
.codex/agents/chrome-ext-engineer.toml	review-pending	human	tracked	61	
.codex/agents/cli-engineer.toml	review-pending	human	tracked	73	
.codex/agents/desktop-engineer.toml	review-pending	human	tracked	65	
.codex/agents/mobile-engineer.toml	review-pending	human	tracked	63	
.codex/agents/supervisor.toml	review-pending	human	tracked	85	
.codex/agents/vscode-ext-engineer.toml	review-pending	human	tracked	69	
.codex/agents/web-engineer.toml	review-pending	human	tracked	68	
.codex/config.toml	review-pending	human	tracked	58	
.cursor/hooks.json	review-pending	human	tracked	109	
.cursor/hooks/adapter.js	review-pending	human	tracked	85	
.cursor/hooks/after-file-edit.js	review-pending	human	tracked	50	
.cursor/hooks/after-mcp-execution.js	review-pending	human	tracked	14	
.cursor/hooks/after-shell-execution.js	review-pending	human	tracked	48	
.cursor/hooks/after-tab-file-edit.js	review-pending	human	tracked	26	
.cursor/hooks/before-mcp-execution.js	review-pending	human	tracked	13	
.cursor/hooks/before-read-file.js	review-pending	human	tracked	15	
.cursor/hooks/before-shell-execution.js	review-pending	human	tracked	49	
.cursor/hooks/before-submit-prompt.js	review-pending	human	tracked	30	
.cursor/hooks/before-tab-file-read.js	review-pending	human	tracked	15	
.cursor/hooks/pre-compact.js	review-pending	human	tracked	11	
.cursor/hooks/session-end.js	review-pending	human	tracked	12	
.cursor/hooks/session-start.js	review-pending	human	tracked	15	
.cursor/hooks/shell-split.js	review-pending	human	tracked	87	
.cursor/hooks/stop.js	review-pending	human	tracked	50	
.cursor/hooks/subagent-start.js	review-pending	human	tracked	12	
.cursor/hooks/subagent-stop.js	review-pending	human	tracked	12	
.expo/devices.json	review-pending	human	tracked	3	
.expo/prebuild/cached-packages.json	review-pending	human	tracked	4	
.gitattributes	review-pending	human	tracked	13	
.github/codeql/codeql-config.yml	review-pending	human	tracked	83	
.github/dependabot.yml	review-pending	human	tracked	272	
.github/workflows/actions-pinned-check.yml	review-pending	human	tracked	53	
.github/workflows/agiworkforce-bot.yml	review-pending	human	tracked	267	
.github/workflows/build-windows-release.yml	review-pending	human	tracked	148	
.github/workflows/ci.yml	review-pending	human	tracked	421	
.github/workflows/cli-release.yml	review-pending	human	tracked	364	
.github/workflows/codeql.yml	review-pending	human	tracked	66	
.github/workflows/deploy-signaling-server.yml	review-pending	human	tracked	259	
.github/workflows/e2e-tests.yml	review-pending	human	tracked	149	
.github/workflows/release-cli.yml	review-pending	human	tracked	195	
.github/workflows/release-desktop.yml	review-pending	human	tracked	523	
.github/workflows/release.yml	review-pending	human	tracked	210	
.gitignore	review-pending	human	tracked	218	
.husky/commit-msg	review-pending	human	tracked	2	
.husky/pre-commit	review-pending	human	tracked	1	
.husky/pre-push	review-pending	human	tracked	2	
