Risk ID,AI RMF function,Failure mode,Evidence (source IDs),Likelihood (1-5),Severity (1-5),Mitigation,Residual risk,Revisit trigger
R-001,Govern,Apple rejects mobile monetization/steering implementation for non-US/non-EU storefronts,S001;S002,4,5,Ship StoreKit IAP for global mobile. Gate external web link by storefront and entitlement. Maintain App Review note package.,Medium,Any Apple guideline/news change or first App Review rejection.
R-002,Govern,Provider TOS breach from treating managed-cloud routing as API resale,S006;S009;S012;S023,3,5,"Define AGI as customer application, not API resale. Flow down provider terms. Seek commercial approvals before high-volume/enterprise/reseller language.",Medium,Paid managed-cloud >$5k/mo provider spend or enterprise customer onboarding.
R-003,Manage,Hobby $10/mo unit economics collapse from long output tokens or agent loops,S004;S007;S008;S011,4,5,"Hard quotas, model ladder, output caps, BYOK default, abuse detection, budget stop-loss by user/tier/provider.",Medium,Gross margin <60% for any paid cohort over 7 days.
R-004,Measure,Prompt caching misses because prefixes are unstable or per-user dynamic,S004;S007;S010,4,4,"Canonical prompt pack, stable static prefix first, cache key/fingerprint telemetry, split dynamic memory after cached block.",Medium,"Cache hit rate <30% for managed-cloud chats with >1,024 input tokens."
R-005,Map,Google cached-context storage TTL creates hidden time-based cost,S010;S011,3,4,"Default short TTL, garbage collect caches, per-cache budget labels, no persistent caches without explicit ROI.",Low,Gemini cached-storage line item >10% of LLM COGS.
R-006,Manage,On-device model output causes prohibited content without server visibility,S001;S024;S025;S026,3,4,"On-device policy screen, report abuse, optional safety classifier, no vulnerable-user/high-risk use claims, blocklist for known categories.",Medium,"App-store complaint, user report spike, or app enters youth/medical/legal use cases."
R-007,Measure,llama.rn instability on device/OS matrix blocks mobile launch,S015,3,4,Keep llama.rn as T3 fallback. Require smoke tests on locked hardware. Primary route remains Apple/Android native or RN ExecuTorch.,Medium,Crash-free sessions <99.5% on local model path.
R-008,Map,AICore/Foundation Models eligibility mismatch creates uneven UX,S003;S013,4,3,"Capability detection, clear fallback order, “local unavailable” UX, separate ASO claims by supported devices.",Low,>20% of local-mode attempts fall back unexpectedly.
R-009,Govern,MCP server marketplace enables malicious tools or supply-chain compromise,S036;S037;S038;S039,4,5,"Vetted registry default, scopes, OAuth, sandboxing, no auto-install, custom server warning, audit logs, revocation.",Medium,First public MCP marketplace release or new MCP spec RC.
R-010,Govern,Privacy-law obligations under GDPR/CCPA/state laws not implemented before public launch,S031;S032;S033;S034,3,5,"Privacy notice, DSAR/delete/export, retention, consent ledger, subprocessors, GPC handling, EU representative/DPA review if needed.",Medium,"EU launch, >100k users, or any state threshold analysis triggers."
R-011,Measure,Telemetry captures prompts/outputs/API keys despite privacy-first claims,S029;S030;S032;S033,3,5,"Telemetry off by default, denylist/scrub at source, event minimization, no session replay on AI surfaces, red-team logs.",Low,Any PII/prompt in Sentry/PostHog sample.
R-012,Manage,Gateway outage/model removal cascades across providers,S020;S021;S022;S023,3,4,Own canonical contract. Direct-provider fallback for top three providers. Route health checks and provider budgets.,Medium,Gateway SLA incident or model availability change.
R-013,Govern,Provider pricing change with 30-day notice breaks pricing model,S006;S012;S023,4,4,"Provider-price watch, margin guardrails, model substitution table, user-level budgets, BYOK migration prompt.",Medium,Any price update notice or >15% COGS increase.
R-014,Map,EU AI Act / GPAI / high-risk categorization shifts launch obligations,S031;S035,2,4,Avoid high-risk domains and regulated decisioning. Maintain AI RMF register and transparency labels. Legal review for EU app copy.,Medium,New EU Commission guidance or feature enters employment/education/credit/health.
R-015,Manage,Prompt injection or tool-call exploit via agentic workflows,S026;S036;S037;S038,4,5,"Prompt Guard/injection classifier, tool allowlists, confirmation for external side effects, least privilege, audit logs.",Medium,Public MCP/tool beta or external action integration.
R-016,Measure,Infra overages from Vercel/Supabase at 100K+ MAU,S027;S028,3,4,"Traffic/cost dashboards, move hot paths to worker/queue, DB pool/read replica plan, per-service budgets.",Medium,Monthly infra >10% revenue or DB connection/edge usage saturation.
R-017,Govern,Consumer app positioning overclaims privacy/local availability on unsupported devices,S003;S013;S045;S046;S047,3,3,"ASO copy states capability-based availability, not universal offline intelligence. Device gating and disclaimers.",Low,App review note or user complaints about offline mode.
R-018,Manage,Model deprecation/alias change breaks routes,S040;S023;S020,4,4,"Pin explicit model IDs, maintain migration table, canary new aliases, avoid launch-critical preview/EOL models.",Medium,Provider deprecation notice or alias change.
R-019,Manage,DeepSeek V4-Pro promo cliff 2026-05-31 15:59 UTC reverts prices 4x to 1.74/3.48 per Mtok,DeepSeek-API-docs-2026-05,5,3,"Auto-reroute past promo_expires_at to V4-Flash or Claude Sonnet 4.6 unless workload-specific quality requires V4-Pro. Embed promo_expires_at flag in models.json. Daily margin alert.",Medium,Any tier blended margin <60% post-2026-05-31.
R-020,Govern,Apple Guideline 2.5.2 enforcement against any in-app code-execution UX on iOS,Apple-2-5-2-Replit-Vibecode-Anything-2026-03,4,4,"Scope mobile v1 to chat + workflow + remote-controller surface only. Defer code-execution UX to desktop / CLI / web. Revisit post-WWDC 2026 only if sanctioned entitlement ships.",Medium,Any App Review contact citing 2.5.2.
R-021,Govern,Chinese-HQ provider routing under EU AI Act Art 50 + US-state ADMT compliance contexts,EU-AI-Act-Art-50-2026-08-02;Apple-5-1-2-i-2025-11-13,4,3,"Default-off DeepSeek/Kimi/Moonshot/Qwen/Zhipu. Per-provider 5.1.2(i) consent + Art 50(1) disclosure. Route metadata flag cn_hq=true triggers extra consent affordance. Legal review of any sales script.",Medium,Any EU user report of unexpected Chinese-HQ routing.
